Link,Month,Year
https://www.jdpowervalues.com/article/market-correction-continues-moderate-pace,November,2022
https://www.jdpowervalues.com/article/class-8-market-correction-continued-through-end-2022,January,2023
https://www.jdpowervalues.com/article/market-absorbs-high-mileage-trucks-correction-continues-0,June,2022
https://www.jdpowervalues.com/article/early-february-auctions-suggest-increase-number-available-late-model-trucks,February,2022
https://www.jdpowervalues.com/article/more-retail-customers-visited-lots-january,February,2021
https://www.jdpowervalues.com/article/summer-closes-out-strong-used-trucks,September,2021
https://www.jdpowervalues.com/article/uncertainty-ratchets-market-continues-cool,March,2023
https://www.jdpowervalues.com/article/december-2022-commercial-vehicle-market-update,December,2022
https://www.jdpowervalues.com/article/2021-was-year-record-books,January,2022
https://www.jdpowervalues.com/article/class-8-pricing-still-sky-high-risks-intensify,March,2022
https://www.jdpowervalues.com/article/class-8-auction-market-takes-breather,November,2020
https://www.jdpowervalues.com/article/class-8-auction-market-stayed-course-november,December,2020
