date_str,month,year,link
March 2025,September,2022,https://www.jdpowervalues.com/article/september-2022-used-car-car-market-guidelines
September 2025,September,2022,https://www.jdpowervalues.com/article/september-2022-commercial-truck-guidelines
March 2025,July,2022,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/August_2022_Guidelines.pdf
March 2025,August,2022,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/08.2022_CommercialVehicleGuidelines.pdf
March 2025,March,2022,https://www.jdpowervalues.com/article/class-8-pricing-still-sky-high-risks-intensify
March 2025,February,2022,https://www.jdpowervalues.com/article/february-2022-wholesale-market-update
February 2025,February,2022,https://www.jdpowervalues.com/article/early-february-auctions-suggest-increase-number-available-late-model-trucks
January 2022,January,2022,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/01.2022_Commercial%20Truck%20Guidelines.pdf
January 2022,January,2022,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/01.2022_Commercial%20Truck%20Guidelines.pdf
January 2022,January,2022,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/01.2022_Commercial%20Truck%20Guidelines.pdf
November 2021,November,2021,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F11.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52535508&newsitemid=20211122005179&lan=en-US&anchor=November+2021+Commercial+Truck+Guidelines+Industry+Update&index=1&md5=5f63527da4fadd374049580883011041
November 2021,November,2021,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F11.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52535508&newsitemid=20211122005179&lan=en-US&anchor=free+monthly+report&index=2&md5=cacd9136e547686bed8d7edb5fea254d
